freq_GHz,Sdd11_dB
1.5,-1.8577107586365855
1.5017,-1.866926284313276
1.5034,-1.8761885796284758
1.5051,-1.885497681411338
1.5068,-1.8948536234878512
1.5085,-1.9042564366149461
1.5102,-1.9137061484140916
1.5119,-1.923202783304347
1.5136,-1.9327463624349273
1.5153,-1.9423369036172444
1.517,-1.9519744212564456
1.5187,-1.9616589262824593
1.5204,-1.9713904260805188
1.5221,-1.9811689244212314
1.5238,-1.9909944213901278
1.5255,-2.000866913316738
1.5272000000000001,-2.0107863927031975
1.5289,-2.0207528481523758
1.5306,-2.0307662642955417
1.5323,-2.0408266217195496
1.534,-2.0509338968936017
1.5357,-2.061088062095523
1.5374,-2.071289085337617
1.5391,-2.0815369302920956
1.5408,-2.0918315562160363
1.5425,-2.1021729178759445
1.5442,-2.1125609654719044
1.5459,-2.122995644561297
1.5476,-2.133476895982117
1.5493,-2.1440046557759307
1.551,-2.154578855110381
1.5527,-2.1651994202013918
1.5544,-2.1758662722349267
1.5561,-2.18657932728844
1.5578,-2.1973384962519567
1.5595,-2.2081436847488174
1.5612,-2.2189947930560736
1.5629,-2.229891716024607
1.5646,-2.2408343429988946
1.5663,-2.2518225577365145
1.568,-2.262856238327354
1.5697,-2.2739352571125675
1.5714,-2.2850594806032793
1.5731,-2.296228769399049
1.5748,-2.3074429781061427
1.5765,-2.3187019552555963
1.5782,-2.330005543221111
1.5799,-2.341353578136813
1.5816,-2.352745889814867
1.5833,-2.364182301663042
1.585,-2.375662630602144
1.5867,-2.387186686983502
1.5884,-2.3987542745063752
1.5901,-2.410365190135461
1.5918,-2.4220192240184617
1.5935,-2.4337161594037924
1.5952,-2.4454557725584505
1.5969,-2.4572378326861375
1.5986,-2.469062101845647
1.6003,-2.480928334869654
1.602,-2.4928362792838494
1.6037,-2.5047856752266497
1.6054,-2.516776255369434
1.6071,-2.5288077448374544
1.6088,-2.5408798611315078
1.6105,-2.5529923140504613
1.6122,-2.5651448056147608
1.6139000000000001,-2.577337029990994
1.6156,-2.589568673417682
1.6173,-2.6018394141324364
1.619,-2.6141489223005694
1.6207,-2.6264968599453846
1.6224,-2.6388828808802858
1.6241,-2.6513066306428468
1.6258,-2.6637677464311165
1.6275,-2.6762658570422864
1.6292,-2.6888005828139416
1.6309,-2.7013715355682026
1.6326,-2.7139783185588935
1.6343,-2.7266205264220496
1.6360000000000001,-2.7392977451300657
1.6377,-2.7520095519496652
1.6394,-2.7647555154041097
1.6411,-2.777535195239885
1.6428,-2.790348142398175
1.6445,-2.8031938989915717
1.6461999999999999,-2.816071998286201
1.6479,-2.8289819646898224
1.6496,-2.8419233137461006
1.6513,-2.8548955521355768
1.653,-2.8678981776836237
1.6547,-2.880930679375895
1.6564,-2.8939925373815867
1.6581000000000001,-2.9070832230849546
1.6598,-2.920202199125565
1.6615,-2.9333489194475844
1.6632,-2.9465228293585985
1.6649,-2.959723365598364
1.6666,-2.9729499564178354
1.6683,-2.986202021668924
1.67,-2.9994789729052713
1.6717,-3.012780213494467
1.6734,-3.0261051387419298
1.6751,-3.039453136026826
1.6768,-3.0528235849502035
1.6785,-3.066215857495588
1.6802000000000001,-3.0796293182021506
1.6819,-3.0930633243505885
1.6836,-3.1065172261617233
1.6853,-3.11999036700781
1.687,-3.1334820836364297
1.6887,-3.1469917064068005
1.6904,-3.16051855953822
1.6921,-3.1740619613703136
1.6938,-3.18762122463456
1.6955,-3.201195656736612
1.6972,-3.214784560048698
1.6989,-3.228387232211328
1.7006000000000001,-3.242002966443442
1.7023,-3.2556310518599316
1.704,-3.2692707737955056
1.7057,-3.2829214141335443
1.7074,-3.2965822516386876
1.7091,-3.310252562291632
1.7108,-3.3239316196245525
1.7125,-3.337618695055513
1.7142,-3.3513130582200708
1.7159,-3.3650139772981995
1.7176,-3.378720719334618
1.7193,-3.3924325505505366
1.721,-3.406148736644767
1.7227000000000001,-3.4198685430821696
1.7244,-3.4335912353672793
1.7261,-3.4473160793011437
1.7278,-3.4610423412192692
1.7295,-3.474769288208728
1.7312,-3.488496188302469
1.7329,-3.502222310649133
1.7346,-3.5159469256565807
1.7363,-3.529669305107677
1.738,-3.543388722246958
1.7397,-3.5571044518370485
1.7414,-3.570815770183887
1.7431,-3.584521955130065
1.7448000000000001,-3.5982222860159285
1.7465,-3.61191604360819
1.7482,-3.625602509996338
1.7499,-3.6392809684572223
1.7516,-3.652950703288624
1.7533,-3.6666109996129608
1.755,-3.680261143152456
1.7567,-3.693900419977644
1.7584,-3.7075281162311517
1.7601,-3.7211435178291863
1.7618,-3.7347459101433382
1.7635,-3.748334577665631
1.7652,-3.7619088036598844
1.7669000000000001,-3.7754678698028536
1.7686,-3.789011055818569
1.7703,-3.8025376391096053
1.772,-3.8160468943890584
1.7737,-3.8295380933170398
1.7754,-3.843010504145638
1.7771,-3.8564633913761126
1.7788,-3.869896015432222
1.7805,-3.883307632353314
1.7822,-3.8966974935108105
1.7839,-3.9100648453514557
1.7856,-3.9234089291704817
1.7873,-3.9367289809176937
1.7890000000000001,-3.9500242310390754
1.7907,-3.9632939043562887
1.7924,-3.9765372199860978
1.7941,-3.989753391301391
1.7958,-4.002941625935143
1.7975,-4.0161011258282215
1.7992,-4.02923108732172
1.8009,-4.042330701293874
1.8026,-4.0553991533415745
1.8043,-4.068435624005796
1.806,-4.081439289040228
1.8077,-4.094409319721785
1.8094000000000001,-4.1073448832015895
1.8111000000000002,-4.120245142894568
1.8128,-4.133109258905715
1.8145,-4.145936388490628
1.8162,-4.158725686547922
1.8179,-4.171476306140866
1.8195999999999999,-4.184187399045395
1.8213,-4.19685811632171
1.823,-4.209487608906347
1.8247,-4.222075028221851
1.8264,-4.234619526800884
1.8281,-4.247120258921825
1.8298,-4.259576381252817
1.8315000000000001,-4.2719870535014
