freq_GHz,S11_dB_0pct,S11_dB_5pct,S11_dB_10pct,S11_dB_15pct,S11_dB_20pct
1.5,-0.34658183654339036,-0.3574218303644593,-0.3822208229034988,-0.39848662792688255,-0.41776813409888847
1.502,-0.34762409015187684,-0.35939282150291624,-0.3843921675507844,-0.40102954072545494,-0.42086762274965717
1.504,-0.3486793396128654,-0.36136661648838186,-0.3865702763423217,-0.40357728386966657,-0.423967599035544
1.506,-0.3497476658726783,-0.36334335649256266,-0.38875532626072046,-0.4061300832924486,-0.42706837577983275
1.508,-0.3508291504961025,-0.36532318462223723,-0.3909474954477762,-0.40868816642415234,-0.43017026787396523
1.51,-0.35192387567193395,-0.36730624589029937,-0.39314696320929443,-0.4112517621920742,-0.43327359225241835
1.512,-0.3530319242185914,-0.36929268718713626,-0.395353910020135,-0.4138211010205342,-0.4363786678690703
1.514,-0.35415337958976495,-0.3712826572523993,-0.3975685175297431,-0.416396414831667,-0.4394858156753701
1.516,-0.35528832588014814,-0.3732763066471109,-0.3997909685678065,-0.4189779370466337,-0.44259535859959426
1.518,-0.3564368478311994,-0.3752737877262393,-0.402021447150251,-0.4215659025874507,-0.4457076215281585
1.52,-0.3575990308369871,-0.3772752546116095,-0.40426013848552433,-0.4241605478796518,-0.44882293128806006
1.522,-0.35877496095008354,-0.37928086316529025,-0.40650722898130653,-0.4267621108551505,-0.45194161663113896
1.524,-0.35996472488750975,-0.38129077096339453,-0.40876290625135486,-0.42937083095593803,-0.45506400821959836
1.526,-0.3611684100367575,-0.3833051372703845,-0.4110273591226624,-0.43198694913854246,-0.45819043861308106
1.528,-0.3623861044618634,-0.38532412301374935,-0.4133007776432107,-0.4346107078784197,-0.46132124225754345
1.53,-0.3636178969095357,-0.38734789075925175,-0.4155833530894762,-0.43724235117578525,-0.4644567554749771
1.532,-0.3648638768153738,-0.38937660468667357,-0.41787527797474233,-0.4398821245614323,-0.46759731645528496
1.534,-0.36612413431011004,-0.3914104305659507,-0.42017674605775,-0.4425302751032366,-0.47074326524913934
1.536,-0.36739876022594953,-0.3934495357339129,-0.42248795235088066,-0.4451870514137471,-0.4738949437625589
1.538,-0.36868784610295297,-0.39549408907157424,-0.42480909313005477,-0.4478527036572704,-0.4770526957525679
1.54,-0.369991484195502,-0.39754426098183143,-0.42714036594303917,-0.4505274835591133,-0.4802168668249428
1.542,-0.3713097674788146,-0.399600223367814,-0.4294819696202548,-0.4532116444137645,-0.4833878044323684
1.544,-0.37264278965553627,-0.4016621496117217,-0.4318341042839786,-0.4559054410950017,-0.4865658578751237
1.546,-0.37399064516239455,-0.4037302145542999,-0.43419697135897634,-0.45860913006534826,-0.48975137830240983
1.548,-0.3753534291769324,-0.40580459447465145,-0.4365707735833724,-0.4613229693877627,-0.492944718715193
1.55,-0.376731237624297,-0.40788546707093676,-0.4389557150190274,-0.46404721873587484,-0.49614623397039764
1.552,-0.37812416718409353,-0.4099730114414175,-0.4413520010632934,-0.4667821394071009,-0.4993562807867935
1.554,-0.379532315297345,-0.4120674080661455,-0.4437598384605491,-0.4695279943338038,-0.5025752177517603
1.556,-0.38095578017347476,-0.41416883878918176,-0.44617943531383275,-0.4722850480976344,-0.5058034053298264
